Headline,Score
Microsoft to appeal IRS request for nearly $29 billion in back taxes,0.2
Microsoft plans to contest IRS claim it owes $28.9 billion in back taxes,0.2
Ouch: IRS Says Microsoft Owes $29 Billion In Back Taxes,-0.8
Microsoft hammered with $29 billion back-tax bill,0.0
IRS says Microsoft owes $29 bn in unpaid US taxes,-0.8
Microsoft has closed the free Windows 11 loophole â€” Windows 7 keys no longer work,0.2
IRS says Microsoft owes an additional $29 billion in back taxes,0.0
Microsoft says US has asked for $28.9 bln in audit dispute,0.2
Microsoft Wants to Teach You How to Install Linux,0.0
Microsoft CEO Satya Nadella Says What Separates Successful People From Everyone Else Really Comes Down to 2 Words,0.5
